Fecha;PM2.5(µg/m³);PM1(µg/m³);SO2(µg/m³);CO(mg/m³);NO(µg/m³);NO2(µg/m³);PM10(µg/m³);NOx(µg/m³);Ozono(µg/m³)
01/01/2014;4;3;1;0;2;11;7;13;60
02/01/2014;4;3;0;0,2;2;17;8;20;53
03/01/2014;4;3;1;0,3;4;28;7;34;42
04/01/2014;3;2;1;0,3;2;11;9;14;63
05/01/2014;5;3;1;0,3;2;9;8;12;64
06/01/2014;5;3;1;0,3;6;26;8;35;48
07/01/2014;10;8;2;;57;71;13;158;21
08/01/2014;13;10;1;;39;46;15;105;27
09/01/2014;;;2;;45;64;;134;11
10/01/2014;;;0;;19;61;;90;10
11/01/2014;;;5;;23;64;;99;10
12/01/2014;;;3;;13;36;;55;19
13/01/2014;;;;;10;42;;57;29
14/01/2014;;;;;7;32;;43;44
15/01/2014;7;6;2;;38;42;11;101;25
16/01/2014;6;5;2;;25;41;9;80;35
17/01/2014;7;5;;;17;51;10;77;34
18/01/2014;7;6;;;7;36;10;47;32
19/01/2014;4;3;;;3;18;8;23;50
20/01/2014;3;2;2;0,2;2;21;8;24;58
21/01/2014;5;4;2;0,3;9;40;9;54;40
22/01/2014;8;6;2;0,3;53;58;11;140;22
23/01/2014;6;4;1;0,2;32;55;9;103;28
24/01/2014;5;4;0;0,3;5;30;9;37;48
25/01/2014;4;3;2;0,3;6;14;8;23;49
26/01/2014;4;3;1;0,3;3;19;8;23;47
27/01/2014;;;2;0,3;2;11;;14;60
28/01/2014;;;2;0,2;3;13;;18;63
29/01/2014;4;3;1;0,1;3;16;8;21;63
30/01/2014;4;3;1;0,1;9;36;8;50;47
31/01/2014;6;4;1;0,1;13;45;9;65;36
01/02/2014;6;5;1;0;12;;10;42;45
02/02/2014;4;2;3;0;2;;7;18;59
03/02/2014;6;4;3;0,1;8;37;10;49;39
04/02/2014;6;5;1;0;4;32;10;38;48
05/02/2014;6;4;0;0,1;3;21;14;25;60
06/02/2014;8;6;0;0;15;51;11;74;41
07/02/2014;4;2;1;0;1;14;9;16;65
08/02/2014;5;3;2;0;2;6;11;9;69
09/02/2014;6;4;1;0,1;3;17;9;22;60
10/02/2014;2;2;1;0;2;10;6;13;68
11/02/2014;4;3;1;0;4;24;8;29;57
12/02/2014;5;3;1;0;12;44;9;62;37
13/02/2014;3;2;2;0;4;18;7;24;45
14/02/2014;4;3;1;0;5;20;8;27;42
15/02/2014;7;6;2;0;11;34;10;52;41
16/02/2014;6;5;1;0;4;30;9;35;36
17/02/2014;8;6;2;0;15;44;11;67;27
18/02/2014;15;13;;0,1;68;70;18;175;19
19/02/2014;10;7;;0;44;66;14;133;23
20/02/2014;7;5;;0,1;21;39;11;71;36
21/02/2014;;;;0,2;;;;;45
22/02/2014;9;7;;0,1;5;36;12;43;51
23/02/2014;11;8;;0,2;7;44;14;55;46
24/02/2014;15;11;5;0,1;23;68;20;103;44
25/02/2014;11;7;4;0,1;28;46;21;89;47
